As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2020-04-01,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90
2020-04-01,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",5,45
2020-04-02,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100
2020-04-02,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",6,54
2020-04-03,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110
2020-04-03,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",7,63
2020-04-04,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",12,120
2020-04-04,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",8,72
2020-04-05,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",13,130
2020-04-05,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",9,81
2020-04-06,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",14,140
2020-04-06,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",10,90
2020-04-07,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",15,150
2020-04-07,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",11,99
2020-04-08,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",16,160
2020-04-08,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",12,108
2020-04-09,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",17,170
2020-04-09,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",13,117
2020-04-10,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",18,180
2020-04-10,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",14,126
2020-04-11,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",19,190
2020-04-11,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",15,135
2020-04-12,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",20,200
2020-04-12,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",16,144
2020-04-13,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",21,210
2020-04-13,2,7,-,Code 8,Movie,,"Apr 11, 2020",2,13
2020-04-14,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",22,220
2020-04-14,2,3,2,Ozark,TV Show,Yes,"Jul 21, 2017",18,161
2020-04-15,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",23,230
2020-04-15,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",19,170
2020-04-16,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",24,240
2020-04-16,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",20,179
2020-04-17,1,-,-,Despicable Me,Movie,,"Apr 16, 2020",1,10
2020-04-17,2,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",25,249
2020-04-18,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",2,20
2020-04-18,2,2,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",26,258
2020-04-19,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",3,30
2020-04-19,2,5,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",2,15
2020-04-20,1,1,-,Despicable Me,Movie,,"Apr 16, 2020",4,40
2020-04-20,2,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",3,24
2020-04-21,1,2,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",4,34
2020-04-21,2,3,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",6,45
2020-04-22,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",5,44
2020-04-22,2,2,-,Outer Banks,TV Show,Yes,"Apr 15, 2020",7,54
2020-04-23,1,1,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",6,54
2020-04-23,2,2,6,Outer Banks,TV Show,Yes,"Apr 15, 2020",8,63
2020-04-24,1,4,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",2,17
2020-04-24,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",9,72
2020-04-25,1,-,-,Extraction,Movie,Yes,"Apr 24, 2020",1,10
2020-04-25,2,1,-,The Willoughbys,Movie,Yes,"Apr 22, 2020",3,26
2020-04-26,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",2,20
2020-04-26,2,3,4,Outer Banks,TV Show,Yes,"Apr 15, 2020",11,89
2020-04-27,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",3,30
2020-04-27,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",12,98
2020-04-28,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",4,40
2020-04-28,2,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",13,107
2020-04-29,1,1,-,Extraction,Movie,Yes,"Apr 24, 2020",5,50
2020-04-29,2,6,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",2,14
2020-04-30,1,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",3,24
2020-04-30,2,1,-,Extraction,Movie,Yes,"Apr 24, 2020",6,59
2020-05-01,1,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",4,34
2020-05-01,2,-,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",1,9
2020-05-02,1,2,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",2,19
2020-05-02,2,1,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",5,43
2020-05-03,1,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",3,29
2020-05-03,2,2,-,Never Have I Ever,TV Show,Yes,"Apr 27, 2020",6,52
2020-05-04,1,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",4,39
2020-05-04,2,3,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",19,156
2020-05-05,1,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",20,166
2020-05-05,2,1,-,Dangerous Lies,Movie,Yes,"Apr 30, 2020",5,48
2020-05-06,1,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",21,176
2020-05-06,2,3,-,Hollywood,TV Show,Yes,"May 1, 2020",4,30
2020-05-07,1,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",22,186
2020-05-07,2,2,-,Hollywood,TV Show,Yes,"May 1, 2020",5,39
2020-05-08,1,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",23,196
2020-05-08,2,2,-,Hollywood,TV Show,Yes,"May 1, 2020",6,48
2020-05-09,1,-,-,Dead to Me,TV Show,Yes,"May 3, 2019",1,10
2020-05-09,2,1,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",24,205
2020-05-10,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",2,20
2020-05-10,2,2,3,Outer Banks,TV Show,Yes,"Apr 15, 2020",25,214
2020-05-11,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",3,30
2020-05-11,2,2,2,Outer Banks,TV Show,Yes,"Apr 15, 2020",26,223
2020-05-12,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",4,40
2020-05-12,2,3,-,John Henry,Movie,,"May 9, 2020",2,17
2020-05-13,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",5,50
2020-05-13,2,2,-,John Henry,Movie,,"May 9, 2020",3,26
2020-05-14,1,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",6,60
2020-05-14,2,-,-,The Wrong Missy,Movie,Yes,"May 13, 2020",1,9
2020-05-15,1,2,-,The Wrong Missy,Movie,Yes,"May 13, 2020",2,19
2020-05-15,2,1,-,Dead to Me,TV Show,Yes,"May 3, 2019",7,69
2020-05-16,1,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",3,29
2020-05-16,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",8,78
2020-05-17,1,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",4,39
2020-05-17,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",9,87
2020-05-18,1,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",5,49
2020-05-18,2,2,1,Dead to Me,TV Show,Yes,"May 3, 2019",10,96
2020-05-19,1,-,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",1,10
2020-05-19,2,1,-,The Wrong Missy,Movie,Yes,"May 13, 2020",6,58
2020-05-20,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",2,20
2020-05-20,2,2,-,The Wrong Missy,Movie,Yes,"May 13, 2020",7,67
2020-05-21,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",3,30
2020-05-21,2,5,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",2,15
2020-05-22,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",4,40
2020-05-22,2,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",3,24
2020-05-23,1,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",5,50
2020-05-23,2,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",4,33
2020-05-24,1,2,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",5,43
2020-05-24,2,1,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",6,59
2020-05-25,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",6,53
2020-05-25,2,2,-,Avatar: The Last Airbender,TV Show,,"May 15, 2020",7,68
2020-05-26,1,1,-,Sweet Magnolias,TV Show,Yes,"May 19, 2020",7,63
2020-05-26,2,2,1,Avatar: The Last Airbender,TV Show,,"May 15, 2020",8,77
2020-05-27,1,3,-,Uncut Gems,Movie,,"May 25, 2020",2,18
2020-05-27,2,1,5,Sweet Magnolias,TV Show,Yes,"May 19, 2020",8,72
2020-05-28,1,-,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",1,10
2020-05-28,2,1,-,Uncut Gems,Movie,,"May 25, 2020",3,27
2020-05-29,1,1,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",2,20
2020-05-29,2,2,-,Uncut Gems,Movie,,"May 25, 2020",4,36
2020-05-30,1,-,-,Space Force,TV Show,Yes,"May 29, 2020",1,10
2020-05-30,2,1,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",3,29
2020-05-31,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",2,20
2020-05-31,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",4,38
2020-06-01,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",3,30
2020-06-01,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",5,47
2020-06-02,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",4,40
2020-06-02,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",6,56
2020-06-03,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",5,50
2020-06-03,2,2,-,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",7,65
2020-06-04,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",6,60
2020-06-04,2,2,1,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",8,74
2020-06-05,1,1,-,Space Force,TV Show,Yes,"May 29, 2020",7,70
2020-06-05,2,2,1,Jeffrey Epstein: Filthy Rich,TV Show,Yes,"May 27, 2020",9,83
2020-06-06,1,-,-,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",1,10
2020-06-06,2,1,1,Space Force,TV Show,Yes,"May 29, 2020",8,79
2020-06-07,1,1,-,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",2,20
2020-06-07,2,2,1,Space Force,TV Show,Yes,"May 29, 2020",9,88
2020-06-08,1,1,-,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",3,30
2020-06-08,2,2,1,Space Force,TV Show,Yes,"May 29, 2020",10,97
2020-06-09,1,1,-,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",4,40
2020-06-09,2,4,-,365 Days,Movie,Yes,"Jul 7, 2020",2,16
2020-06-10,1,1,-,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",5,50
2020-06-10,2,2,-,365 Days,Movie,Yes,"Jul 7, 2020",3,25
2020-06-11,1,1,-,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",6,60
2020-06-11,2,2,-,365 Days,Movie,Yes,"Jul 7, 2020",4,34
2020-06-12,1,1,-,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",7,70
2020-06-12,2,2,-,365 Days,Movie,Yes,"Jul 7, 2020",5,43
2020-06-13,1,2,-,365 Days,Movie,Yes,"Jul 7, 2020",6,53
2020-06-13,2,1,1,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",8,79
2020-06-14,1,3,-,Da 5 Bloods,Movie,Yes,"Jun 12, 2020",2,18
2020-06-14,2,1,-,365 Days,Movie,Yes,"Jul 7, 2020",7,62
2020-06-15,1,1,-,Da 5 Bloods,Movie,Yes,"Jun 12, 2020",3,28
2020-06-15,2,2,4,365 Days,Movie,Yes,"Jul 7, 2020",8,71
2020-06-16,1,2,2,365 Days,Movie,Yes,"Jul 7, 2020",9,81
2020-06-16,2,3,1,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",11,104
2020-06-17,1,1,2,365 Days,Movie,Yes,"Jul 7, 2020",10,91
2020-06-17,2,2,1,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",12,113
2020-06-18,1,1,2,365 Days,Movie,Yes,"Jul 7, 2020",11,101
2020-06-18,2,2,1,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",13,122
2020-06-19,1,1,2,365 Days,Movie,Yes,"Jul 7, 2020",12,111
2020-06-19,2,2,1,13 Reasons Why,TV Show,Yes,"Mar 31, 2017",14,131
2020-06-20,1,-,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",1,10
2020-06-20,2,1,1,365 Days,Movie,Yes,"Jul 7, 2020",13,120
2020-06-21,1,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",2,20
2020-06-21,2,2,2,365 Days,Movie,Yes,"Jul 7, 2020",14,129
2020-06-22,1,1,-,Floor is Lava,TV Show,Yes,"Jun 19, 2020",3,30
2020-06-22,2,2,2,365 Days,Movie,Yes,"Jul 7, 2020",15,138
